
[0.000,0.000,50.800]
[0.000,55.000,50.800]
[27.500,47.631,50.800]
[47.631,27.500,50.800]
[55.000,0.000,50.800]
[47.631,-27.500,50.800]
[27.500,-47.631,50.800]
[0.000,-55.000,50.800]
[-27.500,-47.631,50.800]
[-47.631,-27.500,50.800]
[-55.000,0.000,50.800]
[-47.631,27.500,50.800]
[-27.500,47.631,50.800]
[0.000,55.000,48.855]
[27.500,47.631,48.855]
[47.631,27.500,48.855]
[55.000,0.000,48.855]
[47.631,-27.500,48.855]
[27.500,-47.631,48.855]
[0.000,-55.000,48.855]
[-27.500,-47.631,48.855]
[-47.631,-27.500,48.855]
[-55.000,0.000,48.855]
[-47.631,27.500,48.855]
[-27.500,47.631,48.855]
[0.000,55.000,32.427]
[27.500,47.631,32.427]
[47.631,27.500,32.427]
[55.000,0.000,32.428]
[47.631,-27.500,32.427]
[27.500,-47.631,32.427]
[0.000,-55.000,32.428]
[-27.500,-47.631,32.427]
[-47.631,-27.500,32.427]
[-55.000,0.000,32.427]
[-47.631,27.500,32.427]
[-27.500,47.631,32.427]
[0.000,55.000,16.000]
[27.500,47.631,16.000]
[47.631,27.500,16.000]
[55.000,0.000,16.000]
[47.631,-27.500,16.000]
[27.500,-47.631,16.000]
[0.000,-55.000,16.000]
[-27.500,-47.631,16.000]
[-47.631,-27.500,16.000]
[-55.000,0.000,16.000]
[-47.631,27.500,16.000]
[-27.500,47.631,16.000]
[0.000,55.000,13.000]
[27.500,47.631,13.000]
[47.631,27.500,13.000]
[55.000,0.000,13.000]
[47.631,-27.500,13.000]
[27.500,-47.631,13.000]
[0.000,-55.000,13.000]
[-27.500,-47.631,13.000]
[-47.631,-27.500,13.000]
[-55.000,0.000,13.000]
[-47.631,27.500,13.000]
[-27.500,47.631,13.000]
[0.000,0.000,11.000]
[0.000,0.000,7.000]
[27.500,47.631,7.000]
[55.000,0.000,7.000]
[27.500,-47.631,7.000]
[-27.500,-47.631,7.000]
[-55.000,0.000,7.000]
[-27.500,47.631,7.000]
[0.000,0.000,0.000]
[27.500,47.631,0.000]
[55.000,0.000,0.000]
[27.500,-47.631,0.000]
[-27.500,-47.631,0.000]
[-55.000,0.000,0.000]
[-27.500,47.631,0.000]
[0.000,0.000,7.500]
[31.15323636,56.4507,14.90909091]
[34.80647273,65.2704,13.81818182]
[38.45970909,74.0901,12.72727273]
[42.11294545,82.9098,11.63636364]
[45.76618182,91.7295,10.54545455]
[49.41941818,100.5492,9.45454545]
[53.07265455,109.3689,8.36363636]
[56.72589091,118.1886,7.27272727]
[60.37912727,127.0083,6.18181818]
[64.03236364,135.828,5.090909091]
[67.6856,144.6477,4]
[71.33883636,153.4674,2.90909090]
[74.99207273,162.2871,1.81818181]
[78.64530909,171.1068,0.72727272]
[82.29854545,179.9265,-0.3636363]
[85.95178182,188.7462,-1.4545454]
[89.60501818,197.5659,-2.5454545]
[93.25825455,206.3856,-3.6363636]
[96.91149091,215.2053,-4.7272727]
[100.5647273,224.025,-5.81818181]
[104.2179636,232.8447,-6.9090909]
[107.8712,241.6644,-8]
[111.5244364,250.4841,-9.0909090]
[115.1776727,259.3038,-10.181818]
[118.8309091,268.1235,-11.272727]
[122.4841455,276.9432,-12.363636]
[126.1373818,285.7629,-13.454545]
[129.7906182,294.5826,-14.545454]
[133.4438545,303.4023,-15.636363]
[137.0970909,312.222,-16.7272727]
[140.7503273,321.0417,-17.818181]
[144.4035636,329.8614,-18.909090]
[148.0568,338.6811,-20]
[151.7100364,347.5008,-21.090909]
[155.3632727,356.3205,-22.181818]
[159.0165091,365.1402,-23.272727]
[162.6697455,373.9599,-24.363636]
[166.3229818,382.7796,-25.454545]
[169.9762182,391.5993,-26.545454]
[173.6294545,400.419,-27.6363636]
[177.2826909,409.2387,-28.727272]
[180.9359273,418.0584,-29.818181]
[184.5891636,426.8781,-30.909090]
[188.2424,435.6978,-32]
[191.8956364,444.5175,-33.090909]
[195.5488727,453.3372,-34.181818]
[199.2021091,462.1569,-35.272727]
[202.8553455,470.9766,-36.363636]
[206.5085818,479.7963,-37.454545]
[210.1618182,488.616,-38.5454545]
[213.8150545,497.4357,-39.636363]
[217.4682909,506.2554,-40.727272]
[221.1215273,515.0751,-41.818181]
[224.7747636,523.8948,-42.909090]
[228.428,532.7145,-44]
[232.0812364,541.5342,-45.090909]
[235.7344727,550.3539,-46.181818]
[239.3877091,559.1736,-47.272727]
[243.0409455,567.9933,-48.363636]
[246.6941818,576.813,-49.4545454]
[250.3474182,585.6327,-50.545454]
[254.0006545,594.4524,-51.636363]
[257.6538909,603.2721,-52.727272]
[261.3071273,612.0918,-53.818181]
[264.9603636,620.9115,-54.909090]
[268.6136,629.7312,-56]
[272.2668364,638.5509,-57.090909]
[275.9200727,647.3706,-58.181818]
[279.5733091,656.1903,-59.272727]
[283.2265455,665.01,-60.36363636]
[286.8797818,673.8297,-61.454545]
[290.5330182,682.6494,-62.545454]
[294.1862545,691.4691,-63.636363]
[297.8394909,700.2888,-64.727272]
[301.4927273,709.1085,-65.818181]
[305.1459636,717.9282,-66.909090]
[308.7992,726.7479,-68]
[312.4524364,735.5676,-69.090909]
[316.1056727,744.3873,-70.181818]
[319.7589091,753.207,-71.2727272]
[323.4121455,762.0267,-72.363636]
[327.0653818,770.8464,-73.454545]
[330.7186182,779.6661,-74.545454]
[334.3718545,788.4858,-75.636363]
[338.0250909,797.3055,-76.727272]
[341.6783273,806.1252,-77.818181]
[345.3315636,814.9449,-78.909090]
[348.9848,823.7646,-80]
[352.6380364,832.5843,-81.090909]
[356.2912727,841.404,-82.1818181]
[359.9445091,850.2237,-83.272727]
[363.5977455,859.0434,-84.363636]
[367.2509818,867.8631,-85.454545]
[370.9042182,876.6828,-86.545454]
[374.5574545,885.5025,-87.636363]
[378.2106909,894.3222,-88.727272]
[381.8639273,903.1419,-89.818181]
[385.5171636,911.9616,-90.909090]
[389.1704,920.7813,-92]
